"","TE","baseMean","log2FoldChange","lfcSE","pvalue","padj","signif"
"1","ID_2_127475562",199.367746571457,-0.621753446800163,0.172566345865106,1.25979278374138e-05,0.0203739987950575,"Down"
"2","LTR33A_9_119997076",379.072970578346,-0.660771930291667,0.130669036515292,1.88971724360641e-08,0.000122245808488899,"Down"
"3","RLTR4_MM-int_4_146588127",97.8294120405021,-0.904652838425534,0.22387293374141,2.02259600264005e-06,0.00654208677053924,"Down"
